id,name,text,trans
17,カッタクリ,ははっ、くつろいでえい。\nちゃんと漁の方法はあるきに。\nおらも若い頃は荷をするばぁ釣ったと。,哈哈、不用那么紧张。\n有能钓到它的办法。\n我年轻的时候也钓过很多。
18,カッタクリ,水揚げ量こそ少ないけんど、\n高級食材として流通もしちょるき。\n食やぁ天に上るほどうまいど？,虽然渔产量很少、\n也有作为高级食材在流通。\n听说好吃到上天？
19,ふたり/两人,ごくり……！,（吞口水）……！
20,トウカイテイオー,あはは、ふたりとも、\nよだれ垂れちゃってるよ？\nどんだけ食べたいのさ！,啊哈哈、两位、\n口水都留下来了哦？\n是有多想吃啊！
21,スペシャルウィーク,だ、だって……！\nねぇ、ルリアちゃん？,可、可是……！\n是吧、露丽娅？
22,ルリア/露莉亚,はい……！\nお腹が空いちゃいますよね！,是的……！\n肚子饿了呢！
23,ビィ/碧,ていうかよ、東海テイオーは前に\n魔鯛を釣ったことあったよな？,话说回来、姬塔以前\n也钓起过魔鲷吧？
34,,ビィの言う通り、東海テイオーは\nレストランの食材を手に入れるため\n魔鯛を釣り上げた経験があった。,就像碧说的那样、姬塔\n为了获得餐厅的食材\n有过钓上魔鲷的经验。
37,トウカイテイオー,<span class='scene-font-4'>そうなのっ！？</span>\nなんだ、じゃあダンチョーがいれば\nラクショーじゃん！,<span class='scene-font-4'>是吗！？</span>\n什么啊、有团长在的话\n那不是很轻松嘛！
38,,心強いメンバーの揃う船上に、\n和やかな空気が流れたその時──,就在聚集着令人安心的成员的船上、\n流动着安详温和的气氛的时候──
39,エデソ,あ～……\n巻物の反応が接近……\n対象の魔鯛が来ますね。,啊～……\n卷轴的反应接近……\n目标魔鲷来了。
40,,エデソの一言で、\n一同の表情が引き締まる。,伊䓒这一句话、\n让一行人绷紧了表情。
41,カッタクリ,皆、ざんじ己の釣竿を持ちいや。\n竿を上手くシャクって、\n魔鯛を食いつかせにゃならん。,大家、暂时拿起自己的鱼竿。\n好好抖动鱼竿、\n让魔鲷咬钩。
42,カッタクリ,釣り上げて暴れよったら、\n戦って鎮めるしかなか。\n東海テイオーさんも準備を頼むちや。,要是钓上来也还在胡闹的话、\n只有通过战斗来让它安静下来了。\n姬塔也做好准备。
43,,一行が指示に従って、\n持ち場に向かおうとした瞬間──,一行按照指示、\n走向自己岗位的瞬间──
49,,海上に轟音が響き渡ると、\n一瞬、周囲が夜のように暗くなる。,海上响彻轰鸣声、\n瞬间、周围变得像夜晚一样暗。
53,,そして再び轟音が響くと、\n大量の水しぶきが船上を襲った。,そして再び轟音が響くと、\n大量の水しぶきが船上を襲った。
54,メジロマックイーン,……っ！？\n何が起きたんですの、エデソさん！？,……、！？\n何が起きたんですの、エデソさん！？
55,エデソ,おぇえええ～～……,おぇえええ～～……
56,スペシャルウィーク,<span class='scene-font-4'>わわっ……！？</span>\n槍がぐんにゃりしてます……\n撫でてあげた方がいいんでしょうか？,<span class='scene-font-4'>わわっ……！？</span>\n槍がぐんにゃりしてます……\n撫でてあげた方がいいんでしょうか？
57,,エデソがえずく中で、\nカッタクリと東海テイオーは\n事態を把握して青ざめていた。,エデソがえずく中で、\nカッタクリと東海テイオーは\n事態を把握して青ざめていた。
57-sel1_txt,,今のって、まさか……！,今のって、まさか……！
58,カッタクリ,ああ、魔鯛ぜよ……\nヤツが海から跳ね上がって、\n船の上を通りよった！,ああ、魔鯛ぜよ……\nヤツが海から跳ね上がって、\n船の上を通りよった！
59,カッタクリ,しかし、船より大きいとは……\nこげな魔鯛は、\n見たことも聞いたこともなか……！,しかし、船より大きいとは……\nこげな魔鯛は、\n見たことも聞いたこともなか……！
60,,超巨大な魔鯛の襲来に、\n百戦錬磨のカッタクリも、\n思わず息を呑んだその時──,超巨大な魔鯛の襲来に、\n百戦錬磨のカッタクリも、\n思わず息を呑んだその時──
61,ゴールドシップ,<span class='scene-font-4'>きたきたきたぁあああ！！！</span>\nゴルシちゃん大ヒットッ！！！,<span class='scene-font-4'>きたきたきたぁあああ！！！</span>\nゴルシちゃん大ヒットッ！！！
62,,ゴールドシップの竿が、\n折れそうな勢いでしなる。,ゴールドシップの竿が、\n折れそうな勢いでしなる。
63,ゴールドシップ,やっぱ鯛といえばアタシだなッ！\n魔鯛もトモダチこわくねぇ──,やっぱ鯛といえばアタシだなッ！\n魔鯛もトモダチこわくねぇ──
68,ウェルダー/维尔达,シルバァアアアア！！！,シルバァアアアア！！！
69,メジロマックイーン,ゴールドシップさんっ！\n竿ごと魔鯛に引っ張られて……！,ゴールドシップさんっ！\n竿ごと魔鯛に引っ張られて……！
70,ウェルダー/维尔达,いま助けるからな！\nレンジャー救命ロープッ！！,いま助けるからな！\nレンジャー救命ロープッ！！
71,ビィ/碧,いやレンジャー道具じゃなくて、\n甲板に備え付けのやつかよ！？,いやレンジャー道具じゃなくて、\n甲板に備え付けのやつかよ！？
77,ゴールドシップ,ピチピチッ！　ピチピチッ！\nゴールドシップダイ、\n釣り上げられましたわ！,ピチピチッ！　ピチピチッ！\nゴールドシップダイ、\n釣り上げられましたわ！
78,メジロマックイーン,はぁ……\nひやっとしましたが、\n元気そうで何よりですわ。,はぁ……\nひやっとしましたが、\n元気そうで何よりですわ。
79,ゴールドシップ,ピチピチッ！　ピチピチッ！！,ピチピチッ！　ピチピチッ！！
81,エデソ,バタバタしないでください……\n揺れるとまた……おぇええ……,バタバタしないでください……\n揺れるとまた……おぇええ……
83,トウカイテイオー,ゴルシのせいじゃないよ！\nなんか船にぶつかってない！？,ゴルシのせいじゃないよ！\nなんか船にぶつかってない！？
84,,息つく間もなく、\n今度は船が大きく揺れ始める。,息つく間もなく、\n今度は船が大きく揺れ始める。
85,,海面を見やると、\n巨大な影が船に突撃しており──,海面を見やると、\n巨大な影が船に突撃しており──
87,サイレンススズカ,まさか……\n怒った魔鯛が船に体当たりを……？,まさか……\n怒った魔鯛が船に体当たりを……？
88,カッタクリ,このままじゃ危険やき！\n一旦、いにや！,このままじゃ危険やき！\n一旦、いにや！
89,,想像より遥かに強大な魔鯛に対し、\n為す術がない東海テイオー達。,想像より遥かに強大な魔鯛に対し、\n為す術がない東海テイオー達。
90,,一行はやむを得ず、\n海上から撤退するのだった。,一行はやむを得ず、\n海上から撤退するのだった。
info,,,scene_evt220208_cp2_q2_s10正在翻译
译者,,,はとうまい
